,weekday,FB1_Comdty_PX-LAST-CHF,FB1_Comdty_start,FB1_Comdty_weeklyReturn,FB1_Comdty_buy,FB1_Comdty_sell,TU1_Comdty_PX-LAST-CHF,TU1_Comdty_start,TU1_Comdty_weeklyReturn,TU1_Comdty_buy,TU1_Comdty_sell,FV1_Comdty_PX-LAST-CHF,FV1_Comdty_start,FV1_Comdty_weeklyReturn,FV1_Comdty_buy,FV1_Comdty_sell,TY1_Comdty_PX-LAST-CHF,TY1_Comdty_start,TY1_Comdty_weeklyReturn,TY1_Comdty_buy,TY1_Comdty_sell,WN1_Comdty_PX-LAST-CHF,WN1_Comdty_start,WN1_Comdty_weeklyReturn,WN1_Comdty_buy,WN1_Comdty_sell,CV1_Comdty_PX-LAST-CHF,CV1_Comdty_start,CV1_Comdty_weeklyReturn,CV1_Comdty_buy,CV1_Comdty_sell,XQ1_Comdty_PX-LAST-CHF,XQ1_Comdty_start,XQ1_Comdty_weeklyReturn,XQ1_Comdty_buy,XQ1_Comdty_sell,CN1_Comdty_PX-LAST-CHF,CN1_Comdty_start,CN1_Comdty_weeklyReturn,CN1_Comdty_buy,CN1_Comdty_sell,LGB1_Comdty_PX-LAST-CHF,LGB1_Comdty_start,LGB1_Comdty_weeklyReturn,LGB1_Comdty_buy,LGB1_Comdty_sell,WB1_Comdty_PX-LAST-CHF,WB1_Comdty_start,WB1_Comdty_weeklyReturn,WB1_Comdty_buy,WB1_Comdty_sell,WX1_Comdty_PX-LAST-CHF,WX1_Comdty_start,WX1_Comdty_weeklyReturn,WX1_Comdty_buy,WX1_Comdty_sell,G 1_Comdty_PX-LAST-CHF,G 1_Comdty_start,G 1_Comdty_weeklyReturn,G 1_Comdty_buy,G 1_Comdty_sell,UGL1_Comdty_PX-LAST-CHF,UGL1_Comdty_start,UGL1_Comdty_weeklyReturn,UGL1_Comdty_buy,UGL1_Comdty_sell,DU1_Comdty_PX-LAST-CHF,DU1_Comdty_start,DU1_Comdty_weeklyReturn,DU1_Comdty_buy,DU1_Comdty_sell,OE1_Comdty_PX-LAST-CHF,OE1_Comdty_start,OE1_Comdty_weeklyReturn,OE1_Comdty_buy,OE1_Comdty_sell,RX1_Comdty_PX-LAST-CHF,RX1_Comdty_start,RX1_Comdty_weeklyReturn,RX1_Comdty_buy,RX1_Comdty_sell,UB1_Comdty_PX-LAST-CHF,UB1_Comdty_start,UB1_Comdty_weeklyReturn,UB1_Comdty_buy,UB1_Comdty_sell,IK1_Comdty_PX-LAST-CHF,IK1_Comdty_start,IK1_Comdty_weeklyReturn,IK1_Comdty_buy,IK1_Comdty_sell,OAT1_Comdty_PX-LAST-CHF,OAT1_Comdty_start,OAT1_Comdty_weeklyReturn,OAT1_Comdty_buy,OAT1_Comdty_sell,XM1_Comdty_PX-LAST-CHF,XM1_Comdty_start,XM1_Comdty_weeklyReturn,XM1_Comdty_buy,XM1_Comdty_sell,JB1_Comdty_PX-LAST-CHF,JB1_Comdty_start,JB1_Comdty_weeklyReturn,JB1_Comdty_buy,JB1_Comdty_sell,KAA1_Comdty_PX-LAST-CHF,KAA1_Comdty_start,KAA1_Comdty_weeklyReturn,KAA1_Comdty_buy,KAA1_Comdty_sell,TFT1_Comdty_PX-LAST-CHF,TFT1_Comdty_start,TFT1_Comdty_weeklyReturn,TFT1_Comdty_buy,TFT1_Comdty_sell,considered_assets,weighted_return,weighted_return_l,weighted_return_s
2003-02-21,Friday,98.98,start,,-20.0,,130.20511875,start,,20.0,,113.3637,start,,,,102.74385,start,,-20.0,,,excluded,,,,,excluded,,,,,excluded,,,,74.99382,start,,-20.0,,,excluded,,,,,excluded,,,,,excluded,,,,103.83876,start,,20.0,,,excluded,,,,149.6855,start,,20.0,,87.31191,start,,-20.0,,114.35876,start,,20.0,,103.116321,start,,,,,excluded,,,,,excluded,,,,87.94476,start,,20.0,,1.2970827799999998,start,,-20.0,,,excluded,,,,,excluded,,,,"{'XM1_Comdty': -0.017551991692578324, 'TU1_Comdty': -0.026623533034986366, 'RX1_Comdty': -0.05545546329458992, 'DU1_Comdty': -0.05701950611304512, 'G 1_Comdty': -0.0968329307736621, 'FV1_Comdty': -0.09862771435413047, 'CN1_Comdty': -0.10183261640587563, 'OE1_Comdty': -0.13202186522958873, 'TY1_Comdty': -0.1523960225811416, 'FB1_Comdty': -0.158858378325295, 'JB1_Comdty': -0.215760444429543}",,,
2003-02-22,Saturday,98.98,,,,,130.20511875,,,,,113.3637,,,,,102.74385,,,,,,excluded,,,,,excluded,,,,,excluded,,,,74.99382,,,,,,excluded,,,,,excluded,,,,,excluded,,,,103.83876,,,,,,excluded,,,,149.6855,,,,,87.31191,,,,,114.35876,,,,,103.116321,,,,,,excluded,,,,,excluded,,,,87.94476,,,,,1.2970827799999998,,,,,,excluded,,,,,excluded,,,,,,,
2003-02-23,Sunday,98.98,,,,,130.20511875,,,,,113.3637,,,,,102.74385,,,,,,excluded,,,,,excluded,,,,,excluded,,,,74.99382,,,,,,excluded,,,,,excluded,,,,,excluded,,,,103.83876,,,,,,excluded,,,,149.6855,,,,,87.31191,,,,,114.35876,,,,,103.116321,,,,,,excluded,,,,,excluded,,,,87.94476,,,,,1.2970827799999998,,,,,,excluded,,,,,excluded,,,,,,,
2003-02-24,Monday,99.1,,,,,129.419595703125,,,,,112.836303125,,,,,102.412821875,,,,,,excluded,,,,,excluded,,,,,excluded,,,,75.26788,,,,,,excluded,,,,,excluded,,,,,excluded,,,,104.05132,,,,,,excluded,,,,149.91106,,,,,87.51282,,,,,114.52732,,,,,102.784525,,,,,,excluded,,,,,excluded,,,,87.90305,,,,,1.2992575200000005,,,,,,excluded,,,,,excluded,,,,,,,
2003-02-25,Tuesday,99.07,,,,,129.70703828125,,,,,113.19520390625,,,,,102.7426609375,,,,,,excluded,,,,,excluded,,,,,excluded,,,,75.45909,,,,,,excluded,,,,,excluded,,,,,excluded,,,,104.10233,,,,,,excluded,,,,149.99564,,,,,87.64419,,,,,114.14899,,,,,102.4482375,,,,,,excluded,,,,,excluded,,,,87.95403,,,,,1.3087905700000002,,,,,,excluded,,,,,excluded,,,,,,,
2003-02-26,Wednesday,98.84,,,,,129.3992765625,,,,,113.030540625,,,,,102.7531125,,,,,,excluded,,,,,excluded,,,,,excluded,,,,75.56532,,,,,,excluded,,,,,excluded,,,,,excluded,,,,103.87136,,,,,,excluded,,,,150.02384,,,,,87.65191,,,,,114.43617,,,,,102.7312265,,,,,,excluded,,,,,excluded,,,,87.92159,,,,,1.30696065,,,,,,excluded,,,,,excluded,,,,,,,
2003-02-27,Thursday,98.69,,,,,130.08913671874998,,,,,113.6571046875,,,,,103.390409375,,,,,,excluded,,,,,excluded,,,,,excluded,,,,75.46617,,,,,,excluded,,,,,excluded,,,,,excluded,,,,103.41796,,,,,,excluded,,,,149.81238,,,,,87.39691,,,,,113.98443,,,,,102.0992805,,,,,,excluded,,,,,excluded,,,,88.00965,,,,,1.30696328,,,,,,excluded,,,,,excluded,,,,,,,
2003-02-28,Friday,98.74,start,-0.0024247322691453737,-20.0,-20.0,129.30084375,start,-0.006945003458245256,20.0,20.0,113.1983125,start,-0.0014589105683741291,-20.0,,103.026625,start,0.0027522328587063936,-20.0,-20.0,,excluded,,,,,excluded,,,,,excluded,,,,75.59365,start,0.007998392400867128,,-20.0,,excluded,,,,,excluded,,,,,excluded,,,,103.93979,start,0.0009729507555753615,20.0,20.0,,excluded,,,,150.05203,start,0.002448667372591277,20.0,20.0,87.6751,start,0.004159684514976285,-20.0,-20.0,114.28857,start,-0.0006137702087710346,20.0,20.0,102.5311735,start,-0.005674635153052106,,,,excluded,,,,,excluded,,,,88.00038,start,0.0006324424559235214,20.0,20.0,1.2937455800000002,start,-0.0025728504390441424,-20.0,-20.0,,excluded,,,,,excluded,,,,"{'XM1_Comdty': -0.01840747088057765, 'TU1_Comdty': -0.030992806386879058, 'RX1_Comdty': -0.04685315939904103, 'DU1_Comdty': -0.05699406073310137, 'G 1_Comdty': -0.08785335177733333, 'CN1_Comdty': -0.10427824973454483, 'FV1_Comdty': -0.10490438593330076, 'OE1_Comdty': -0.1307443360948646, 'FB1_Comdty': -0.15304693666179534, 'TY1_Comdty': -0.16008670627203447, 'JB1_Comdty': -0.23077562265647134}",-0.0026834880298572845,-0.0007009426165852263,-0.0019825454132720577
2003-03-01,Saturday,98.74,,,,,129.30084375,,,,,113.1983125,,,,,103.026625,,,,,,excluded,,,,,excluded,,,,,excluded,,,,75.59365,,,,,,excluded,,,,,excluded,,,,,excluded,,,,103.93979,,,,,,excluded,,,,150.05203,,,,,87.6751,,,,,114.28857,,,,,102.5311735,,,,,,excluded,,,,,excluded,,,,88.00038,,,,,1.2937455800000002,,,,,,excluded,,,,,excluded,,,,,,,
2003-03-02,Sunday,98.74,,,,,129.30084375,,,,,113.1983125,,,,,103.026625,,,,,,excluded,,,,,excluded,,,,,excluded,,,,75.59365,,,,,,excluded,,,,,excluded,,,,,excluded,,,,103.93979,,,,,,excluded,,,,150.05203,,,,,87.6751,,,,,114.28857,,,,,102.5311735,,,,,,excluded,,,,,excluded,,,,88.00038,,,,,1.2937455800000002,,,,,,excluded,,,,,excluded,,,,,,,
